,ControlStation,magnitude,year,month,day,date,Measurement,meanValue,maxValue,minValue,unit
82,24,Temperature,2019,12,3,2019-12-03,28079024_83_98_19_12_03,21.125,57.0,5.0,ºC
83,103,Precipitation,2019,12,3,2019-12-03,28079103_89_98_19_12_03,2.708333333333333,7.0,1.0,l/m^2
84,24,Precipitation,2019,12,3,2019-12-03,28079024_89_98_19_12_03,14.083333333333336,49.0,5.0,l/m^2
85,39,Precipitation,2019,12,3,2019-12-03,28079039_89_98_19_12_03,3.25,13.0,1.0,l/m^2
86,56,Precipitation,2019,12,3,2019-12-03,28079056_89_98_19_12_03,8.5,27.0,2.0,l/m^2
87,108,Precipitation,2019,12,3,2019-12-03,28079108_89_98_19_12_03,18.0,67.0,7.0,l/m^2
88,102,Precipitation,2019,12,3,2019-12-03,28079102_89_98_19_12_03,2.625,12.0,1.0,l/m^2
89,112,Temperature,2019,12,3,2019-12-03,28079112_83_98_19_12_03,11.125,13.0,7.0,ºC
90,113,Temperature,2019,12,3,2019-12-03,28079113_83_98_19_12_03,82.09166666666667,99.78,42.24,ºC
91,18,Temperature,2019,12,3,2019-12-03,28079018_83_98_19_12_03,80.63041666666669,95.84,55.3,ºC
92,8,Temperature,2019,12,3,2019-12-03,28079008_83_98_19_12_03,10.708333333333334,31.0,1.0,ºC
93,56,Temperature,2019,12,3,2019-12-03,28079056_83_98_19_12_03,1.1666666666666667,3.0,1.0,ºC
94,114,Temperature,2019,12,3,2019-12-03,28079114_83_98_19_12_03,11.625,16.0,8.0,ºC
95,38,Temperature,2019,12,3,2019-12-03,28079038_83_98_19_12_03,47.20833333333334,85.0,10.0,ºC
96,115,Temperature,2019,12,3,2019-12-03,28079115_83_98_19_12_03,22.04166666666667,66.0,7.0,ºC
97,54,Precipitation,2019,12,3,2019-12-03,28079054_89_98_19_12_03,17.166666666666668,47.0,5.0,l/m^2
98,24,Precipitation,2019,12,4,2019-12-04,28079024_89_98_19_12_04,5.791666666666668,15.0,2.0,l/m^2
99,114,Temperature,2019,12,4,2019-12-04,28079114_83_98_19_12_04,0.13750000000000004,0.2,0.1,ºC
100,56,Precipitation,2019,12,4,2019-12-04,28079056_89_98_19_12_04,7.041666666666668,25.0,1.0,l/m^2
101,107,Temperature,2019,12,4,2019-12-04,28079107_83_98_19_12_04,10.291666666666666,29.0,4.0,ºC
102,24,Temperature,2019,12,4,2019-12-04,28079024_83_98_19_12_04,25.875,62.0,8.0,ºC
103,54,Precipitation,2019,12,4,2019-12-04,28079054_89_98_19_12_04,36.583333333333336,100.0,10.0,l/m^2
104,58,Temperature,2019,12,4,2019-12-04,28079058_83_98_19_12_04,0.23333333333333334,0.3,0.2,ºC
105,54,Temperature,2019,12,4,2019-12-04,28079054_83_98_19_12_04,6.208333333333332,13.0,2.0,ºC
106,59,Temperature,2019,12,4,2019-12-04,28079059_83_98_19_12_04,0.5166666666666667,1.1,0.3,ºC
107,4,Temperature,2019,12,4,2019-12-04,28079004_83_98_19_12_04,20.45833333333333,58.0,9.0,ºC
108,106,Precipitation,2019,12,4,2019-12-04,28079106_89_98_19_12_04,28.45833333333333,55.0,8.0,l/m^2
109,103,Precipitation,2019,12,4,2019-12-04,28079103_89_98_19_12_04,5.25,20.0,1.0,l/m^2
110,115,Temperature,2019,12,4,2019-12-04,28079115_83_98_19_12_04,28.625,78.0,6.0,ºC
111,18,Temperature,2019,12,4,2019-12-04,28079018_83_98_19_12_04,28.5,76.0,9.0,ºC
112,106,Temperature,2019,12,4,2019-12-04,28079106_83_98_19_12_04,2.333333333333333,10.0,1.0,ºC
113,8,Temperature,2019,12,4,2019-12-04,28079008_83_98_19_12_04,1.05,1.6,0.5,ºC
114,56,Temperature,2019,12,4,2019-12-04,28079056_83_98_19_12_04,14.791666666666664,51.0,2.0,ºC
115,110,Temperature,2019,12,4,2019-12-04,28079110_83_98_19_12_04,12.375,13.0,12.0,ºC
116,107,Precipitation,2019,12,4,2019-12-04,28079107_89_98_19_12_04,10.333333333333334,54.0,1.0,l/m^2
117,102,Temperature,2019,12,4,2019-12-04,28079102_83_98_19_12_04,3.25,6.0,1.0,ºC
118,113,Temperature,2019,12,4,2019-12-04,28079113_83_98_19_12_04,7.041666666666668,12.0,4.0,ºC
119,112,Temperature,2019,12,4,2019-12-04,28079112_83_98_19_12_04,73.24166666666666,88.3,39.88,ºC
120,36,Temperature,2019,12,4,2019-12-04,28079036_83_98_19_12_04,18.375,66.0,4.0,ºC
121,38,Temperature,2019,12,4,2019-12-04,28079038_83_98_19_12_04,28.95833333333333,81.0,5.0,ºC
122,59,Precipitation,2019,12,4,2019-12-04,28079059_89_98_19_12_04,0.05541666666666669,0.09,0.03,l/m^2
123,108,Precipitation,2019,12,4,2019-12-04,28079108_89_98_19_12_04,21.66666666666667,58.0,3.0,l/m^2
124,103,Temperature,2019,12,4,2019-12-04,28079103_83_98_19_12_04,1.1666666666666667,3.0,1.0,ºC
125,102,Precipitation,2019,12,4,2019-12-04,28079102_89_98_19_12_04,9.416666666666666,11.0,9.0,l/m^2
126,39,Precipitation,2019,12,4,2019-12-04,28079039_89_98_19_12_04,14.791666666666664,42.0,4.0,l/m^2
127,35,Temperature,2019,12,4,2019-12-04,28079035_83_98_19_12_04,1.5462499999999997,1.57,1.53,ºC
128,111,Temperature,2019,12,4,2019-12-04,28079111_83_98_19_12_04,17.25,48.0,5.0,ºC
129,109,Temperature,2019,12,4,2019-12-04,28079109_83_98_19_12_04,4.75,17.0,1.0,ºC
130,108,Temperature,2019,12,4,2019-12-04,28079108_83_98_19_12_04,80.00291666666669,96.38,50.02,ºC
131,107,Precipitation,2019,12,5,2019-12-05,28079107_89_98_19_12_05,8.041666666666666,35.0,1.0,l/m^2
132,103,Precipitation,2019,12,5,2019-12-05,28079103_89_98_19_12_05,1.6004166666666668,1.66,1.57,l/m^2
133,108,Precipitation,2019,12,5,2019-12-05,28079108_89_98_19_12_05,27.66666666666667,67.0,7.0,l/m^2
134,102,Temperature,2019,12,5,2019-12-05,28079102_83_98_19_12_05,0.06625000000000003,0.08,0.05,ºC
135,58,Temperature,2019,12,5,2019-12-05,28079058_83_98_19_12_05,36.833333333333336,76.0,10.0,ºC
136,36,Temperature,2019,12,5,2019-12-05,28079036_83_98_19_12_05,23.79166666666667,59.0,8.0,ºC
137,114,Temperature,2019,12,5,2019-12-05,28079114_83_98_19_12_05,44.5,160.0,7.0,ºC
138,39,Precipitation,2019,12,5,2019-12-05,28079039_89_98_19_12_05,56.54833333333333,68.95,32.1,l/m^2
139,56,Precipitation,2019,12,5,2019-12-05,28079056_89_98_19_12_05,45.41666666666666,116.0,10.0,l/m^2
140,102,Precipitation,2019,12,5,2019-12-05,28079102_89_98_19_12_05,29.33333333333333,68.0,8.0,l/m^2
141,115,Temperature,2019,12,5,2019-12-05,28079115_83_98_19_12_05,2.75,11.0,1.0,ºC
142,110,Temperature,2019,12,5,2019-12-05,28079110_83_98_19_12_05,10.583333333333334,31.0,1.0,ºC
143,111,Temperature,2019,12,5,2019-12-05,28079111_83_98_19_12_05,0.2208333333333334,0.3,0.2,ºC
144,4,Temperature,2019,12,5,2019-12-05,28079004_83_98_19_12_05,0.2166666666666668,0.5,0.2,ºC
145,56,Temperature,2019,12,5,2019-12-05,28079056_83_98_19_12_05,9.041666666666666,11.0,8.0,ºC
146,103,Temperature,2019,12,5,2019-12-05,28079103_83_98_19_12_05,1.625,5.0,1.0,ºC
147,38,Temperature,2019,12,5,2019-12-05,28079038_83_98_19_12_05,56.69958333333333,69.62,23.48,ºC
148,112,Temperature,2019,12,5,2019-12-05,28079112_83_98_19_12_05,17.083333333333332,40.0,6.0,ºC
149,54,Precipitation,2019,12,5,2019-12-05,28079054_89_98_19_12_05,25.16666666666667,89.0,6.0,l/m^2
150,18,Temperature,2019,12,5,2019-12-05,28079018_83_98_19_12_05,10.25,23.0,4.0,ºC
151,24,Temperature,2019,12,5,2019-12-05,28079024_83_98_19_12_05,19.791666666666668,48.0,8.0,ºC
152,113,Temperature,2019,12,5,2019-12-05,28079113_83_98_19_12_05,3.2916666666666665,9.0,1.0,ºC
153,109,Temperature,2019,12,5,2019-12-05,28079109_83_98_19_12_05,5.916666666666668,8.0,4.0,ºC
154,35,Temperature,2019,12,5,2019-12-05,28079035_83_98_19_12_05,76.21000000000002,90.34,49.52,ºC
155,59,Temperature,2019,12,5,2019-12-05,28079059_83_98_19_12_05,8.791666666666666,10.0,8.0,ºC
156,54,Temperature,2019,12,5,2019-12-05,28079054_83_98_19_12_05,18.0,55.0,5.0,ºC
157,59,Precipitation,2019,12,5,2019-12-05,28079059_89_98_19_12_05,0.2958333333333334,0.9,0.1,l/m^2
158,106,Precipitation,2019,12,5,2019-12-05,28079106_89_98_19_12_05,3.208333333333333,13.0,1.0,l/m^2
159,108,Temperature,2019,12,5,2019-12-05,28079108_83_98_19_12_05,4.541666666666667,22.0,1.0,ºC
160,24,Precipitation,2019,12,5,2019-12-05,28079024_89_98_19_12_05,11.375,42.0,1.0,l/m^2
161,107,Temperature,2019,12,5,2019-12-05,28079107_83_98_19_12_05,0.25,0.4,0.2,ºC
162,106,Temperature,2019,12,5,2019-12-05,28079106_83_98_19_12_05,7.791666666666668,16.0,2.0,ºC
163,38,Temperature,2019,12,6,2019-12-06,28079038_83_98_19_12_06,1.2375,5.2,0.2,ºC
164,109,Temperature,2019,12,6,2019-12-06,28079109_83_98_19_12_06,25.54166666666667,76.0,10.0,ºC
165,103,Temperature,2019,12,6,2019-12-06,28079103_83_98_19_12_06,3.0,11.0,1.0,ºC
166,58,Temperature,2019,12,6,2019-12-06,28079058_83_98_19_12_06,11.916666666666664,30.0,6.0,ºC
167,102,Precipitation,2019,12,6,2019-12-06,28079102_89_98_19_12_06,0.17083333333333334,0.5,0.1,l/m^2
168,59,Precipitation,2019,12,6,2019-12-06,28079059_89_98_19_12_06,0.3333333333333333,0.5,0.3,l/m^2
169,39,Precipitation,2019,12,6,2019-12-06,28079039_89_98_19_12_06,16.666666666666668,47.0,5.0,l/m^2
170,102,Temperature,2019,12,6,2019-12-06,28079102_83_98_19_12_06,0.1791666666666667,0.3,0.1,ºC
171,35,Temperature,2019,12,6,2019-12-06,28079035_83_98_19_12_06,25.75,61.0,5.0,ºC
172,107,Precipitation,2019,12,6,2019-12-06,28079107_89_98_19_12_06,7.916666666666668,13.0,4.0,l/m^2
173,115,Temperature,2019,12,6,2019-12-06,28079115_83_98_19_12_06,30.70833333333333,91.0,7.0,ºC
174,56,Temperature,2019,12,6,2019-12-06,28079056_83_98_19_12_06,6.708333333333332,13.0,3.0,ºC
175,18,Temperature,2019,12,6,2019-12-06,28079018_83_98_19_12_06,0.39166666666666666,1.2,0.1,ºC
176,110,Temperature,2019,12,6,2019-12-06,28079110_83_98_19_12_06,63.75,133.0,12.0,ºC
177,111,Temperature,2019,12,6,2019-12-06,28079111_83_98_19_12_06,0.2625,0.5,0.2,ºC
178,59,Temperature,2019,12,6,2019-12-06,28079059_83_98_19_12_06,0.13750000000000004,0.3,0.1,ºC
179,113,Temperature,2019,12,6,2019-12-06,28079113_83_98_19_12_06,1.4037499999999998,1.45,1.38,ºC
180,106,Precipitation,2019,12,6,2019-12-06,28079106_89_98_19_12_06,19.25,68.0,7.0,l/m^2
181,56,Precipitation,2019,12,6,2019-12-06,28079056_89_98_19_12_06,15.875,18.0,14.0,l/m^2
182,54,Temperature,2019,12,6,2019-12-06,28079054_83_98_19_12_06,1.2866666666666668,1.32,1.27,ºC
183,106,Temperature,2019,12,6,2019-12-06,28079106_83_98_19_12_06,0.11666666666666672,0.13,0.1,ºC
184,103,Precipitation,2019,12,6,2019-12-06,28079103_89_98_19_12_06,0.18750000000000008,0.2,0.1,l/m^2
185,24,Precipitation,2019,12,6,2019-12-06,28079024_89_98_19_12_06,0.2958333333333333,0.4,0.2,l/m^2
186,54,Precipitation,2019,12,6,2019-12-06,28079054_89_98_19_12_06,13.166666666666664,41.0,1.0,l/m^2
187,108,Precipitation,2019,12,6,2019-12-06,28079108_89_98_19_12_06,28.08333333333333,45.0,12.0,l/m^2
188,24,Temperature,2019,12,6,2019-12-06,28079024_83_98_19_12_06,4.0,4.0,4.0,ºC
189,108,Temperature,2019,12,6,2019-12-06,28079108_83_98_19_12_06,49.5,88.0,14.0,ºC
190,36,Temperature,2019,12,6,2019-12-06,28079036_83_98_19_12_06,85.66208333333333,104.1,43.38,ºC
191,4,Temperature,2019,12,6,2019-12-06,28079004_83_98_19_12_06,92.41666666666669,157.0,33.0,ºC
192,8,Temperature,2019,12,6,2019-12-06,28079008_83_98_19_12_06,0.3375,0.4,0.3,ºC
193,114,Temperature,2019,12,6,2019-12-06,28079114_83_98_19_12_06,0.10833333333333338,0.2,0.1,ºC
194,112,Temperature,2019,12,6,2019-12-06,28079112_83_98_19_12_06,61.88916666666666,76.44,27.75,ºC
195,107,Temperature,2019,12,6,2019-12-06,28079107_83_98_19_12_06,0.2541666666666667,0.5,0.2,ºC
196,38,Temperature,2019,12,7,2019-12-07,28079038_83_98_19_12_07,59.18666666666666,73.88,30.81,ºC
197,103,Temperature,2019,12,7,2019-12-07,28079103_83_98_19_12_07,3.1666666666666665,20.0,1.0,ºC
198,18,Temperature,2019,12,7,2019-12-07,28079018_83_98_19_12_07,21.33333333333333,65.0,6.0,ºC
199,54,Precipitation,2019,12,7,2019-12-07,28079054_89_98_19_12_07,37.208333333333336,117.0,15.0,l/m^2
200,56,Temperature,2019,12,7,2019-12-07,28079056_83_98_19_12_07,1.2420833333333332,1.26,1.23,ºC
